,songs,lyrics
0,AdventureOfALifetime.txt,"['Turn your magic on\n', ""Umi she'd say\n"", ""Everything you want's a dream away\n"", 'And we are legends every day\n', ""That's what she told me\n"", '\n', 'Turn your magic on,\n', ""To me she'd say\n"", ""Everything you want's a dream away\n"", 'Under this pressure, under this weight\n', 'We are diamonds\n', '\n', 'Now I feel my heart beating\n', 'I feel my heart underneath my skin\n', 'And I feel my heart beating\n', 'Oh, you make me feel\n', ""Like I'm alive again\n"", 'Alive again\n', 'Oh, you make me feel\n', ""Like I'm alive again\n"", '\n', ""Said I can't go on,\n"", 'Not in this way\n', ""I'm a dream that died by light of day\n"", 'Gonna hold up half the sky and say\n', 'Only I own me\n', '\n', 'And I feel my heart beating\n', 'I feel my heart underneath my skin\n', 'Oh, I can feel my heart beating\n', ""'Cause you make me feel\n"", ""Like I'm alive again\n"", 'Alive again\n', 'Oh, you make me feel\n', ""Like I'm alive again\n"", '\n', 'Turn your magic on,\n', ""Umi she'd say\n"", ""Everything you want's a dream away\n"", 'Under this pressure under this weight\n', 'We are diamonds taking shape\n', 'We are diamonds taking shape\n', '\n', ""If we've only got this life\n"", 'This adventure, oh, then I\n', ""And if we've only got this life\n"", 'You get me through\n', '\n', ""And if we've only got this life\n"", 'In this adventure, oh, then I\n', 'Want to share it with you\n', 'With you\n', 'With you\n', 'Yeah I do\n', 'Woohoo\n', 'Woohoo\n', 'Woohoo\n']"
1,AHeadFullOfDreams.txt,"[""'Cause you're a sky, 'cause you're a sky full of stars\n"", ""I'm gonna give you my heart\n"", ""'Cause you're a sky, 'cause you're a sky full of stars\n"", ""'Cause you light up the path\n"", '\n', ""I don't care, go on and tear me apart\n"", ""I don't care if you do, ooh\n"", ""'Cause in a sky, 'cause in a sky full of stars\n"", 'I think I saw you\n', '\n', ""'Cause you're a sky, 'cause you're a sky full of stars\n"", 'I wanna die in your arms\n', ""'Cause you get lighter the more it gets dark\n"", ""I'm gonna give you my heart\n"", '\n', ""I don't care, go on and tear me apart\n"", ""I don't care if you do, ooh\n"", ""'Cause in a sky, 'cause in a sky full of stars\n"", 'I think I see you\n', 'I think I see you\n', '\n', ""'Cause you're a sky, you're a sky full of stars\n"", 'Such a heavenly view\n', ""You're such a heavenly view\n"", '\n']"
2,AmazingDay.txt,"['We sat on a roof, named every star\n', 'Shared every bruise and showed every scar\n', 'Hope has its proof put your hand in mine, saying\n', '""Life has a beautiful, crazy design""\n', '\n', 'And time seemed to say\n', '""Forget the world and it\'s weight""\n', 'And here I just want to stay\n', '\n', 'Amazing day\n', 'Amazing day\n', '\n', 'We sat on a roof, named every star \n', 'You showed me a place\n', 'Where you can be what you are\n', '\n', 'And the view, the whole Milky Way\n', 'In your eyes, I drifted away\n', 'And in your arms I just want to sway\n', '\n', 'Amazing day\n', 'Amazing day\n', 'Amazing day\n', 'Amazing day\n', '\n', 'Oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh-oh\n', 'Oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh-oh, oooh\n', '\n', 'And I asked \n', 'Can the Birds in poetry, chime?\n', 'Can there be breaks in the chaos sometimes?\n', 'Oh, thanks God, must have heard when I prayed\n', 'Cause now I always want to feel this way\n', '\n', 'Amazing day\n', 'Amazing day\n', 'Amazing day\n', 'Amazing day\n', 'Yeah, today\n']"
3,ArmyOfOne.txt,"['Been around the world, the wonders to view\n', 'Been around the world, looking for someone like you\n', 'Pyramids try, Babylon too\n', 'But the beautifullest treasures lie in the deepest blue\n', '\n', 'So I never say die, aim never untrue\n', ""I'm never so high as when I'm with you\n"", ""And there isn't a fire, that I wouldn't walk through\n"", 'My army of one is gonna fight for you\n', '\n', 'Been around the world, universe too\n', ""Been around flying, baby, there's nothing I wouldn't do\n"", 'Tanzaku stars, Lasso the moon\n', 'And be standing there beside you\n', 'Right when the storm comes through\n', '\n', ""'Cause I never say die, aim never untrue\n"", ""Never so high as when I'm with you\n"", ""And there isn't a fire, that I wouldn't walk through\n"", 'My army of one is gonna fight for you\n', 'My army of one is gonna fight for you, yeah!\n', '\n', ""'Cause you reign, all 'cause you reign\n"", ""All 'cause you reign\n"", 'My army of one is gonna call it through\n', '\n', 'Sayin my heart is my gun, army of one\n', 'Yeah my heart is my gun, army of one\n', ""It's my only weapon, army of one\n"", 'Yeah my heart is my gun, army of one\n', '\n']"
4,Birds.txt,"['Been standing in the corner\n', 'Studying the lights\n', 'The dreaming of escape\n', 'Will keep you up at night\n', '\n', 'But someone had put the flare up\n', 'Got me in rays\n', 'So... I guess I better stay\n', '\n', '""Uh uh, no come on!"" you say\n', '\n', ""It's a fools gold thunder\n"", ""It's just warning rain\n"", ""Don't let the fears just start, what if\n"", ""I won't see you again\n"", 'Around here you never want to\n', 'Sleep all night\n', '\n', 'So start falling in love,\n', 'Start the riot\n', 'And come on rage with me\n', '\n', ""We don't need words\n"", ""We'll be birds\n"", 'Got to make our own key\n', '\n', 'Only got this moment\n', 'You and me\n', 'Guilty of nothing\n', 'But geography\n', '\n', 'Come on and raise it\n', 'Come on raise this noise\n', 'For the million people\n', 'Who got not one voice\n', ""Come on, it's not over!\n"", 'If you mean it say loud\n', 'Come on, all for love\n', 'Out from the underground\n', '\n', 'Away with me\n', ""We don't need words\n"", 'Close your eyes and see\n', ""We'll be birds\n"", 'Flying free\n', 'Holding on in the mystery\n', '\n', 'Fearless through this you said\n', ""We'll go\n"", 'Through this together (ooohh)\n', ""When you fly won't you\n"", ""Won't you take me too?\n"", 'In this world so cruel\n', ""I think you're so cool""]"
5,Everglow.txt,"['Oh they say people come\n', 'They say people go\n', 'This particular diamond was extra special\n', 'And though you might be gone\n', 'And the world may not know\n', 'Still I see you celestial\n', '\n', 'Like a lion you ran\n', 'A goddess you rolled\n', 'Like an eagle you circled\n', 'In perfect purple\n', 'So how come things move on\n', ""How come cars don't slow\n"", 'When it feels like the end of my world?\n', ""When I should but I can't let you go?\n"", '\n', ""But when I'm cold, cold\n"", ""When I'm cold, cold\n"", ""There's a light that you give me\n"", ""When I'm in shadow\n"", ""There's a feeling within me, an everglow\n"", '\n', 'Like brothers in blood\n', 'Sisters who ride\n', 'Yeah, we swore on that night\n', ""We'd be friends 'til we died\n"", 'But the changing of winds\n', 'And the way waters flow\n', 'Life as short as the falling of snow\n', ""And now I'm gonna miss you, I know\n"", '\n', ""But when I'm cold, cold\n"", 'In water rolled, salt\n', ""And I know that you're with me\n"", 'And the way you will show\n', ""And you're with me wherever I go\n"", ""'Cause you give me this feeling, this everglow\n"", '\n', ""What I wouldn't give for just a moment to hold\n"", 'Yeah, I live for this feeling, this everglow\n', '\n', 'So if you love someone, you should let them know\n', 'Oh, the light that you left me will everglow\n', '\n']"
6,Fun.txt,"['[Coldplay:]\n', ""I know it's over before she says\n"", 'I know it falls at the water face\n', ""I know it's over, an ocean awaits\n"", 'For a storm\n', 'The sun on snow, rivers in rain\n', 'Crystal ball can foresee a change\n', ""And I know it's over, a parting of ways\n"", ""And it's done\n"", '\n', '[Coldplay:]\n', ""But didn't we have fun?\n"", ""Don't say it was all a waste\n"", ""Didn't we have fun?\n"", 'From the top of the world\n', 'Top of the waves\n', 'We said forever, forever always\n', 'We could have been lost\n', 'We would have been saved\n', ""Now we're stopping the world, stopping its spin\n"", ""Oh, come on don't give up\n"", ""Don't see me give in\n"", ""Don't say it's over\n"", ""Don't say we're done\n"", ""Oh, didn't we have fun?\n"", ""Oh, didn't we have fun?\n"", '\n', '[Coldplay & Tove Lo:]\n', ""I know it's over before she says\n"", 'Know someone else has taken your place\n', '""I know it\'s over,"" Icarus says\n', 'To the sun\n', 'The sword sinks in, lightning strikes\n', 'And two force, two forces collide\n', ""And fight 'til it's over,\n"", ""Fight 'til it's done\n"", '\n', '[Coldplay & Tove Lo:]\n', ""But didn't we have fun?\n"", ""Don't say it was all a waste\n"", ""Didn't we have fun?\n"", 'From the top of the world\n', 'Top of the waves\n', 'We said forever, forever always\n', 'We could have been lost\n', 'We would have been saved\n', ""Now we're stopping the world, stopping in its tracks\n"", ""But nothing's too broken to find a way back\n"", ""Before it's over, before you run\n"", ""Ah, didn't we have fun?\n"", '\n', '[Coldplay & Tove Lo:]\n', ""'Cause you and me\n"", 'We were always meant to... always meant to be\n', 'We were always meant to... always meant to\n', 'You and me\n', 'We were always meant to... always meant to be\n', '\n', ""Oh, didn't we have fun?\n"", ""Oh, didn't we have fun?\n"", '\n', '[Coldplay:]\n', 'But then...\n', 'Maybe we could again\n']"
7,HymnForTheWeekend.txt,"['[Beyonc\xe9:]\n', 'Drink from me, drink from me\n', ""Then we'll shoot across the sky\n"", 'Symphony\n', ""Then we'll shoot across the sky\n"", ""We're on a...\n"", 'Drink from me, drink from me\n', ""Then we'll shoot across the sky\n"", 'Symphony\n', '(So high, so high)\n', ""Then we'll shoot across the sky\n"", '\n', '[Coldplay:]\n', 'Oh, angel sent from up above\n', 'You know you make my world light up\n', 'When I was down, when I was hurt\n', 'You came to lift me up\n', ""Life is a drink, and love's a drug\n"", 'Oh, now I think I must be miles up\n', 'When I was a river, dried up\n', 'You came to rain a flood\n', '\n', '[Coldplay & Beyonc\xe9:]\n', 'And said drink from me, drink from me\n', 'When I was so thirsty\n', 'Pour on a symphony\n', ""Now I just can't get enough\n"", 'Put your wings on me, wings on me\n', 'When I was so heavy\n', 'Pour on a symphony\n', ""When I'm low, low, low, low\n"", '\n', '[Coldplay:]\n', 'I, oh, I, oh\n', 'Got me feeling drunk and high\n', 'So high, so high\n', 'I, oh, I, oh, I, oh\n', ""Now I'm feeling drunk and high\n"", 'So high, so high\n', 'Woo!\n', '\n', '[Coldplay & Beyonc\xe9:]\n', 'Oh, angel sent from up above\n', 'I feel it coursing through my blood\n', ""Life is a drink, your love's about\n"", 'To make the stars come out\n', '\n', '[Coldplay & Beyonc\xe9:]\n', 'Put your wings on me, wings on me\n', 'When I was so heavy\n', 'Pour on a symphony\n', ""When I'm low, low, low, low\n"", '\n', '[Coldplay:]\n', 'I, oh I, oh I\n', 'Got me feeling drunk and high\n', 'So high, so high\n', 'Oh I, oh I, oh I\n', ""I'm feeling drunk and high\n"", 'So high, so high\n', '\n', '[Beyonc\xe9 & Coldplay:]\n', 'I, oh I, oh I\n', 'La la la la la la la\n', 'So high, so high\n', 'I, oh I, oh I\n', ""I'm feeling drunk and high\n"", 'So high, so high\n', '\n', '[Beyonc\xe9:]\n', ""Then we'll shoot across the sky\n"", ""Then we'll shoot across the...\n"", ""Then we'll shoot across the sky\n"", ""Then we'll shoot across the...\n"", ""Then we'll shoot across the sky\n"", ""Then we'll shoot across the...\n"", ""Then we'll shoot across the sky\n"", ""Then we'll shoot across the...\n""]"
8,Kaleidoscope.txt,"['Kaleidoscope""\n', '\n', 'This being human is a guest house\n', 'Every morning a new arrival\n', '\n', 'A joy, a depression, a meanness\n', 'Some momentary awareness comes\n', 'As an unexpected visitor\n', '\n', 'Welcome and entertain them all!\n', 'Be grateful for whoever comes\n', 'Because each has been sent as a guide']"
9,UpAndUp.txt,"['Fixing up a car to drive in it again\n', 'Searching for the water, hoping for the rain\n', 'Up and up\n', 'Up and up\n', '\n', 'Down upon the canvas, working meal to meal\n', 'Waiting for a chance to pick on your orange field\n', 'Up and up\n', 'Up and up\n', '\n', 'See a pearl form a diamond in the rough\n', 'See a bird soaring high above the flood\n', ""It's in your blood\n"", ""It's in your blood\n"", '\n', 'Underneath the storm, an umbrella is saying,\n', '""Sitting with the poison takes away the pain.""\n', 'Up and up\n', 'Up and up, saying\n', '\n', ""We're gonna get it, get it together right now\n"", 'Gonna get it, get it together somehow\n', 'Gonna get it, get it together and flower\n', ""We're gonna get it, get it together, I know\n"", 'Gonna get it, get it together and flow\n', 'Gonna get it, get it together and go\n', 'Up and up and up\n', '\n', 'Lying in the gutter, aiming for the moon\n', 'Trying to empty out the ocean with a spoon\n', 'Up and up\n', 'Up and up\n', '\n', 'How come people suffer? How come people part?\n', 'How come people struggle? How come people break your heart?\n', 'Break your heart, oh\n', '\n', 'Yes, I wanna grow, yes, I wanna feel\n', 'Yes, I wanna know, show me how to heal it up\n', 'Heal it up, oh\n', '\n', 'Try and see the forest, there in every seed\n', 'Angels in the marble waiting to be freed\n', 'Just need love\n', 'Just need love\n', '\n', 'When the going is rough, saying\n', '\n', ""We're gonna get it, get it together right now\n"", 'Gonna get it, get it together somehow\n', 'Gonna get it, get it together and flower\n', ""We're gonna get it, get it together, I know\n"", 'Gonna get it, get it together and flow\n', 'Gonna get it, get it together and go\n', '\n', 'But you can say what is, or fight for it\n', 'Close your mind or take a risk\n', 'You can say, ""It\'s mine,"" and clench your fist\n', 'Or see each sunrise as a gift\n', '\n', '[2x]\n', ""We're gonna get it, get it together right now\n"", 'Gonna get it, get it together somehow\n', 'Gonna get it, get it together and flower\n', ""We're gonna get it, get it together, I know\n"", 'Gonna get it, get it together and flow\n', 'Gonna get it, get it together and go\n', '\n', 'Up and up and up\n', '\n', 'Oh\n', '\n', 'Fixing up a car to drive in it again\n', ""When you're in pain, when you think you've had enough\n"", ""Don't ever give up\n"", ""Don't ever give up\n"", '\n', 'Believe in love']"
