,sent10,sent11,sent12,sent13,sent14,sent15,sent16,sent17,sent18,sent19,sent110,sent111,sent112,sent113,sent114,sent115,sent116,sent117,sent118,sent119,sent120,sent121,sent122,sent123,sent124,sent125,sent126,sent127,sent128,sent129,sent130,sent131,sent132,sent133,sent134,sent135,sent136,sent137,sent138,sent139,sent140,sent141,sent142,sent143,sent144,sent145,sent146,sent147,sent148,sent149,sent150,sent151,sent152,sent153,sent154,sent155,sent156,sent157,sent158,sent159,sent160,sent161,sent162,sent163,sent164,sent165,sent166,sent167,sent168,sent169,sent170,sent171,sent172,sent173,sent174,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.46,6.48061002786,4.91940752245,4.7095584989,4.21937837838,6.26038277512,0.0,0.0,0.0,7.73,5.61,7.27,3.33028037383,0.0,5.98705226724,6.8,7.38,5.56,2.95,6.96444444444,5.32900740008,4.54400442478,5.98,4.6405396856,6.48061002786,0.0,3.68198979592,5.19515418502,3.17,8.72,3.8,0.0,2.82,6.38677848718,4.28,5.42514717666,6.87,0.0,5.56235239587,0.0,3.68198979592,4.86144665461,5.16,0.0,0.0,0.0,5.56,0.0,6.75556560497,6.1,7.2,0.0,1.94,6.01181778395,5.92,4.14,0.0,5.53,2.95,4.71,5.48951111111,4.81120767971,8.29528089888,7.59154185022,6.11654590226,5.92,0.0,5.17142857143,6.56863731656,5.1144836272,6.85943548387,6.34,5.4,6.45286796797,5.22
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,6.73861386139,4.67106391293,4.79881201493,5.4,7.35348066298,6.38,5.21,7.07391812865,5.46195652174,5.83,3.8,4.1025,0.0,7.00532908705,7.00318056469,4.56,3.93,4.98,3.97125,6.38,6.88216216216,2.8,0.0,6.73861386139,4.57190045249,5.39,4.95,0.0,5.3933877551,2.82,0.0,2.82,5.66994022179,4.81809371541,0.0,6.5,0.0,5.46669066111,6.21,5.39,6.1,7.15,5.5,5.0,6.38,5.23,6.38,7.2,3.65888888889,7.35552631579,4.7,5.25455197133,5.06,5.11269406393,4.89917098446,4.54161731207,5.71,3.82277227723,0.0,5.19930555556,4.98,5.12,5.92,5.08589537223,0.0,0.0,4.12,5.88085136265,5.2346,4.61391891892,5.68904988124,5.61,4.67533512064,5.21
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.73,6.48061002786,5.64857894737,0.0,4.53,6.58744186047,6.10393668634,6.71212034384,5.37816546763,0.0,7.38556521739,0.0,4.42144829502,0.0,0.0,4.71,4.95407729914,4.7,0.0,5.99787498014,5.42,4.43828054299,5.98,3.59,6.48061002786,6.2514953271,5.22,6.32485941716,3.17,4.09,3.22,5.19367679803,5.28,4.21060910704,4.02,0.0,5.61,5.06464179382,5.53,6.61,5.22,3.98267317351,2.95,6.77498783455,4.35723577236,5.39,5.69,5.03664516129,6.1,2.82,0.0,0.0,5.21672268908,5.17287615279,0.0,5.32063106796,6.02384044527,5.92,5.6729587156,6.75359649123,4.86235069886,0.0,7.38,5.75527446301,5.83964713984,0.0,0.0,5.14782608696,5.92206569275,5.1144836272,0.0,5.92,5.31,5.28356281557,0.0
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.77,5.4,5.8,5.18654882306,4.82060665362,5.90202453988,6.83072727273,0.0,0.0,0.0,3.50504587156,0.0,8.22,0.0,4.69,6.06205855716,5.88452736318,7.05,2.82,5.88545064378,0.0,4.45185764745,0.0,5.55,5.4,3.94233480176,3.17,5.4,8.04464788732,5.65,6.78658119658,6.19991486018,6.07,5.88033840572,4.02,5.42514717666,6.61523281596,5.41794573643,5.91752715224,5.22,3.17,6.19360902256,5.71,5.5,6.58564853556,5.30847250509,4.48106329114,5.78,6.38,4.20477966102,4.7,0.0,5.47956521739,0.0,4.7,3.0301025641,6.30518796992,5.58948275862,2.95,0.0,3.76486175115,3.82,2.41,5.64,0.0,5.0137254902,6.78,5.87322851153,2.78,0.0,4.22942857143,4.56846562073,0.0,0.0,5.11
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.26,7.38,5.31,3.43,4.65786447639,6.44828025478,4.95,6.71212034384,4.7,4.07,7.20201753201,7.27,3.59544068771,0.0,0.0,7.40242165242,7.38,5.51024282561,5.28068181818,3.5226744186,4.05,0.0,5.87053278689,6.5,7.38,6.38,0.0,6.25412698413,0.0,8.11314516129,5.21991471215,4.05,2.64,6.09351014041,4.56,0.0,4.53,5.92,5.91752715224,5.34950065457,0.0,5.97,7.41828254848,3.78,6.58564853556,-1.0,5.76,5.56,5.83091266075,6.0,7.2,4.7,0.0,0.0,4.7,6.19617886179,5.85,4.5035059761,5.0,4.03326876513,3.83488017429,4.23972665148,6.45637096774,5.72725490196,6.09797783934,0.0,4.28,5.12,6.0,0.0,5.53,5.31,0.0,4.44261904762,3.05
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.46,5.16,6.5,4.75,4.02,6.1,5.89320980342,0.0,0.0,5.76611556046,6.38,3.8,6.36982669599,0.0,5.0,7.2,5.62925,0.0,0.0,6.02619370664,0.0,5.26,0.0,3.59,5.16,6.38,4.90306542056,6.57,7.37,2.13,5.04528,6.02748716159,4.03446808511,5.56793621141,6.20209657325,0.0,0.0,5.29662251656,6.34,6.29221579961,4.90306542056,6.34,0.0,5.98,0.0,-1.0,5.76,0.0,5.81192488263,4.29629213483,5.11,6.08185096154,5.51220779221,0.0,4.7,4.25687664042,3.56570680628,6.1,7.15,0.0,4.49675057208,6.8,4.35331868132,0.0,4.95,0.0,4.65847583643,4.95,5.50001045869,3.82,0.0,5.71,5.0945,4.83,5.33498969072
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,6.48061002786,5.40055888224,0.0,5.45035009326,5.62890063425,3.76,5.21,0.0,0.0,5.87049429658,0.0,3.94873857848,0.0,4.25,5.11,5.85050847458,5.2069010989,5.62,7.27516049383,5.0,5.26,6.49680064852,3.59,6.48061002786,2.82,7.37,5.33368653422,6.16,7.55,5.17371180499,5.55231998081,5.81248447205,6.83979591837,4.02,4.41,5.79725995316,6.11373320303,0.0,7.17,7.37,5.20119670747,7.41828254848,0.0,6.22,-1.0,0.0,0.0,5.27087304014,4.07,0.0,0.0,0.0,4.28,0.0,8.36198473282,6.43899224806,5.0,2.93,0.0,4.69,5.12711835334,5.61940149626,7.13606663084,6.95,0.0,4.23233830846,4.05,0.0,5.78737327189,5.286367713,0.0,6.38848888889,0.0,5.86
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.73,6.03930715935,4.77,4.66592790387,4.7,5.55,5.286367713,6.71212034384,6.61930434783,0.0,6.38,5.92,4.37964365256,0.0,4.69,7.37,5.12,4.33588118812,5.23,0.0,5.18773313116,4.4906629955,6.21,3.63329355609,6.03930715935,7.38,2.79,5.4,0.0,0.0,8.72,0.0,5.12,4.41222222222,4.02,4.41,6.87,0.0,5.55802262666,7.17,2.79,5.92743455497,5.16,0.0,5.55407894737,-1.0,6.33080614203,0.0,4.34448717949,4.20477966102,0.0,4.25,1.94,5.90414903631,6.77,5.83615012107,0.0,5.04731798826,4.91968986286,4.67248971193,5.91699699928,3.15,0.0,0.0,5.47881987578,5.91994791667,4.7682296842,4.05,7.55,6.66,5.286367713,4.75,5.73275720165,5.48948969519,4.56
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.63,6.48061002786,4.77,5.32,7.54,0.0,5.71,0.0,5.63,6.4842101227,6.14651515152,5.31,0.0,5.4075147929,0.0,7.08,4.83897674419,6.59415525114,5.62,6.34,3.86,6.66233668342,3.15,3.59,6.48061002786,6.38,4.12,5.4,0.0,5.08,2.79,0.0,0.0,6.40251037344,7.45,0.0,6.5,0.0,6.00461538462,7.17,4.12,4.26871866295,7.15,6.39,5.0,-1.0,0.0,7.39,6.21,4.93,0.0,5.39,5.25455197133,0.0,5.16,7.02929155313,5.20997995992,0.0,4.52843555681,3.8045983762,5.27215869369,5.73828235294,0.0,7.91,7.35,5.56,0.0,6.08185096154,5.60499829266,6.18,5.0,7.20645070423,7.1,0.0,5.43065857886
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.53,3.59,4.91940752245,0.0,4.78119047619,7.25,0.0,0.0,-1.0,5.29312553188,4.59595271348,6.44,3.43616510823,6.15125531915,0.0,5.43,5.80647058824,7.38,2.78,6.34,0.0,6.66233668342,5.69,3.59,3.59,8.72,3.83303797468,5.4,6.21,5.08,0.0,6.68839779006,5.83,6.38677848718,5.23793697012,0.0,5.61,0.0,6.64086956522,4.71355179704,3.83303797468,4.17,2.95,3.78,5.0,-1.0,6.1,6.1,0.0,0.0,7.2,6.0,5.21672268908,7.38,3.22354180339,5.4075147929,4.10058690745,5.92,5.38713527851,8.72,0.0,5.9077755102,4.7234751773,0.0,5.1381,5.40465250965,0.0,4.07,5.71,6.0,4.19,4.84320392676,5.54920588444,6.18972495088,6.7441943734
