,mean0,mean1,mean2,mean3,mean4,mean5,mean6,mean7,mean8,mean9,mean10,mean11,mean12,mean13,mean14,mean15,mean16,mean17,mean18,mean19,songs,tempo
0,-92.9579819456,109.445117924,-20.6182919379,27.174939349,-7.37933429487,10.6749559336,4.89896714206,-2.30044182336,6.51949413245,-5.08731462756,4.50259379609,-3.01581261701,1.06572972761,0.433646831451,-2.53683966643,1.70248512167,-3.96649689029,2.77986919467,-0.633443064069,-0.743988416634,42,71.77734375
1,-112.353133171,93.3970210927,-30.3680774404,31.3472961401,-11.967104883,10.6920066808,1.49135336314,-3.71270984547,5.82510155462,-4.30117080942,6.53276414372,-3.14234165107,2.70795418731,-0.119507694827,0.629614970441,3.32360858419,-2.19734024462,4.39231442219,-0.794863217376,2.0133696353,AdventureOfALifetime,112.347146739
2,-59.8464920375,112.48820833,-25.1554671475,23.9828753267,-7.59019092706,9.31077667369,0.4076220724,0.270922516173,4.21301786013,-5.4435716456,6.10733726251,-3.44081311198,5.01247891639,0.788611580334,-0.101637561692,3.32633971013,-2.97158616978,4.35402780789,-0.878528163233,1.19590458125,AHeadFullOfDreams,103.359375
3,-124.43867821,130.64249942,-8.46369098038,14.4632796304,1.98906098652,5.40747081928,-1.93114999927,0.221997822934,1.84917961086,-5.86104973066,4.04298982282,-2.23431614536,0.310030993822,1.81082040391,0.526670817263,-1.94157020107,-4.72864807618,2.79999515152,-1.93291753462,-1.2506772508,AmazingDay,161.499023438
4,-72.8084877375,111.728366246,-30.8956948775,34.3343191722,-6.84717175382,10.2315172165,0.413792541715,-3.84559501635,7.93743921866,-7.7899817189,6.3173662162,-2.56222288246,2.32028228314,1.57232205848,-1.87018248241,4.73397809799,-3.20507071209,3.44755018548,-1.71845283234,-0.658959993695,AMessage,78.3025568182
5,-129.584054232,109.757392324,-7.92401891364,15.9497934657,3.33294245193,7.42301278603,3.70210233104,1.15879887153,5.71632736182,-2.82919788763,0.483403626924,-2.86020938245,-0.175827861406,-0.415521565723,-2.22515369398,-0.412594740583,-3.67295635687,0.665305354951,-1.6876477071,-1.46123734872,Amsterdam,73.828125
6,-100.739968479,97.6090886772,-8.73683463637,27.6846301665,-5.67134173658,16.6705751653,0.69853657533,1.30891298231,9.57932860093,-3.61113517783,6.53991285864,-2.73928966359,4.85819086239,1.93422902123,1.32435417531,4.00534266306,-3.01262522402,4.05770123418,-0.391765965371,1.36716031917,AnothersArms,80.7495117188
7,-135.694236847,113.125600123,-10.220520991,14.3207632942,-8.97996741495,5.49252851784,0.804150523081,-3.99727243038,-0.0614898934484,-4.93888930202,1.61953989259,-3.87429831786,3.30746711697,1.0152274319,-1.17305297459,0.232055610358,-2.98197458791,2.55789143577,-1.54512489791,-1.70380900317,ArmyOfOne,95.703125
8,-87.3341335865,103.200595205,-26.9158755355,28.0687403251,-9.60412250677,11.1036393237,-1.4874672909,-1.66855915354,6.96522046295,-4.64687985982,5.37018117856,-5.64596308653,2.39681300249,-1.58269141233,-0.121709047342,4.37932057506,-3.27711895074,3.27813427089,-1.95190571963,0.250375143293,ARushOfBloodToTheHead,143.5546875
9,-77.7899370611,101.524654192,-20.97640146,26.1681564667,-10.1408224836,14.0305791774,-2.26009898064,-1.23004901533,4.6047820747,-3.1951974874,7.4095627468,-5.6236438329,4.73294221123,-0.31186120568,0.655777978061,2.5730105278,-2.17708212599,5.02586914281,-0.962934107883,2.83458719537,ASkyFullOfStars,123.046875
